# wvl	a	b	c	rmse
896.48646000 0.00481451 0.49383828 -0.00000000 0.00000000
901.50021000 0.00479328 0.48949219 0.00000000 0.00000000
906.51399000 0.00476124 0.48297135 -0.00000000 0.00000000
911.52781000 0.00472364 0.47537230 0.00000000 0.00000000
916.54068000 0.00469233 0.46909265 0.00000000 0.00000000
921.55459000 0.00466895 0.46442916 -0.00000000 0.00000000
926.56854000 0.00465926 0.46250286 0.00000000 0.00000000
931.58153000 0.00464064 0.45881360 -0.00000000 0.00000000
936.59555000 0.00461551 0.45385824 0.00000000 0.00000000
941.60962000 0.00459075 0.44900222 0.00000000 0.00000000
946.62273000 0.00458046 0.44699113 -0.00000000 0.00000000
951.63688000 0.00458112 0.44711969 0.00000000 0.00000000
956.65106000 0.00457740 0.44639386 0.00000000 0.00000000
961.66428000 0.00456351 0.44368944 0.00000000 0.00000000
966.67854000 0.00455019 0.44110311 0.00000000 0.00000000
971.69184000 0.00454477 0.44005275 0.00000000 0.00000000
976.70618000 0.00453950 0.43903353 -0.00000000 0.00000000
981.71955000 0.00454137 0.43939360 0.00000000 0.00000000
986.73395000 0.00453358 0.43788836 -0.00000000 0.00000000
991.74740000 0.00451949 0.43517110 0.00000000 0.00000000
996.76087000 0.00451052 0.43344416 0.00000000 0.00000000
1001.77539000 0.00451089 0.43351602 0.00000000 0.00000000
1006.78894000 0.00452165 0.43558762 -0.00000000 0.00000000
1011.80252000 0.00453457 0.43807938 0.00000000 0.00000000
1016.81613000 0.00452020 0.43530707 -0.00000000 0.00000000
1021.82978000 0.00450361 0.43211713 -0.00000000 0.00000000
1026.84347000 0.00450447 0.43228314 0.00000000 0.00000000
1031.85718000 0.00450047 0.43151576 0.00000000 0.00000000
1036.87093000 0.00450222 0.43185177 -0.00000000 0.00000000
1041.88371000 0.00452036 0.43533796 -0.00000000 0.00000000
1046.89752000 0.00453360 0.43789165 -0.00000000 0.00000000
1051.91136000 0.00453056 0.43730429 -0.00000000 0.00000000
1056.92524000 0.00452039 0.43534482 0.00000000 0.00000000
1061.93814000 0.00451447 0.43420469 -0.00000000 0.00000000
1066.95208000 0.00452397 0.43603289 -0.00000000 0.00000000
1071.96504000 0.00453137 0.43746079 0.00000000 0.00000000
1076.97803000 0.00454208 0.43953256 0.00000000 0.00000000
1081.99105000 0.00455144 0.44134445 -0.00000000 0.00000000
1087.00410000 0.00454852 0.44077942 0.00000000 0.00000000
1092.01718000 0.00453207 0.43759620 0.00000000 0.00000000
1097.03029000 0.00453002 0.43720021 0.00000000 0.00000000
1102.04342000 0.00453295 0.43776618 -0.00000000 0.00000000
1107.05659000 0.00454308 0.43972542 -0.00000000 0.00000000
1112.06977000 0.00455609 0.44224833 -0.00000000 0.00000000
1117.08199000 0.00455898 0.44280959 0.00000000 0.00000000
1122.09523000 0.00455441 0.44192164 -0.00000000 0.00000000
1127.10749000 0.00454240 0.43959364 -0.00000000 0.00000000
1132.12078000 0.00452722 0.43666076 0.00000000 0.00000000
1137.13310000 0.00451407 0.43412782 -0.00000000 0.00000000
1142.14544000 0.00451055 0.43345093 -0.00000000 0.00000000
1147.15780000 0.00451320 0.43395934 -0.00000000 0.00000000
1152.17019000 0.00450896 0.43314440 0.00000000 0.00000000
1157.18260000 0.00449823 0.43108665 0.00000000 0.00000000
1162.19503000 0.00447289 0.42624275 0.00000000 0.00000000
1167.20649000 0.00445004 0.42189815 0.00000000 0.00000000
1172.21897000 0.00442993 0.41809391 -0.00000000 0.00000000
1177.23047000 0.00441351 0.41500121 0.00000000 0.00000000
1182.24299000 0.00439878 0.41223545 -0.00000000 0.00000000
1187.25453000 0.00438539 0.40972884 -0.00000000 0.00000000
1192.26610000 0.00437171 0.40717753 -0.00000000 0.00000000
1197.27768000 0.00435594 0.40424538 0.00000000 0.00000000
1202.28928000 0.00433522 0.40040751 0.00000000 0.00000000
1207.30091000 0.00430481 0.39480969 -0.00000000 0.00000000
1212.31255000 0.00427121 0.38867207 -0.00000000 0.00000000
1217.32421000 0.00424077 0.38315181 0.00000000 0.00000000
1222.33489000 0.00420782 0.37722076 0.00000000 0.00000000
1227.34559000 0.00417671 0.37166343 -0.00000000 0.00000000
1232.35730000 0.00415220 0.36731383 0.00000000 0.00000000
1237.36803000 0.00412096 0.36180792 0.00000000 0.00000000
1242.37878000 0.00407793 0.35429086 0.00000000 0.00000000
1247.38955000 0.00403169 0.34630124 -0.00000000 0.00000000
