wl_22c,k_22c,wl_minus8c,k_minus8c,wl_minus25c,k_minus25c,wl_minus7c,k_minus7c,wl_25c_H,k_25c_H,wl_20c,k_20c,wl_25c_S,k_25c_S,Index
717.4,6.51e-8,,,,,1190,5.76000E-06,,,703,3.6810500E-08,914.11321,6.69560990E-07,53
718.4,6.80e-8,,,,,1200,6.71000E-06,,,704,3.7759200E-08,920.44959,8.30405360E-07,54
719.4,7.11e-8,,,,,1210,8.66000E-06,,,705,3.9103200E-08,924.69813,1.05971760E-06,55
720.5,7.43e-8,,,,,1220,1.02000E-05,,,706,4.0169900E-08,928.96640,1.36832780E-06,56
721.5,7.75e-8,,,,,1230,1.13000E-05,,,707,4.1464600E-08,935.40566,1.77088410E-06,57
722.5,8.09e-8,,,,,1240,1.22000E-05,,,708,4.2875400E-08,939.72333,2.16915280E-06,58
723.6,8.45e-8,,,,,1250,1.29000E-05,,,709,4.4346500E-08,944.06090,2.55734980E-06,59
724.6,8.80e-8,,,,,1260,1.32000E-05,,,710,4.5991000E-08,950.60477,2.93217670E-06,60
725.7,9.20e-8,,,,,1270,1.35000E-05,,,711,4.7866300E-08,954.99263,3.18999600E-06,61
726.7,9.63e-8,,,,,1280,1.33000E-05,,,712,4.9803400E-08,959.40066,3.35807310E-06,62
727.8,1.02e-7,,,,,1290,1.32000E-05,,,713,5.1689000E-08,966.05085,3.46409780E-06,63
728.9,1.07e-7,,,,,1300,1.32000E-05,,,714,5.3920600E-08,970.50999,3.50179040E-06,64
729.9,1.14e-7,,,,,1310,1.31000E-05,,,715,5.6101300E-08,974.98966,3.48008730E-06,65
731.0,1.21e-7,,,,,1320,1.32000E-05,,,716,5.8686800E-08,979.48997,3.41814230E-06,66
732.1,1.28e-7,,,,,1330,1.32000E-05,,,717,6.1621600E-08,984.01110,3.33649240E-06,67
733.1,1.35e-7,,,,,1340,1.34000E-05,,,718,6.4564400E-08,990.83193,3.25304550E-06,68
734.2,1.43e-7,,,,,1350,1.39000E-05,,,719,6.6943000E-08,995.40541,3.13105100E-06,69
735.3,1.48e-7,,,,,1360,1.42000E-05,,,720,6.9900900E-08,1000.00000,2.99978510E-06,70
736.4,1.53e-7,,,,,1370,1.48000E-05,,,721,7.2866700E-08,1009.25290,2.68775790E-06,71
737.5,1.57e-7,,,,,1380,1.58000E-05,,,722,7.6415100E-08,1020.93950,2.35228610E-06,72
738.6,1.61e-7,,,,,1390,1.74000E-05,,,723,7.9397600E-08,1030.38610,2.00073760E-06,73
739.6,1.63e-7,,,,,1400,1.98000E-05,,,724,8.3540400E-08,1039.92020,1.69001340E-06,74
740.7,1.65e-7,,,,,1410,2.50000E-05,,,725,8.7117400E-08,1049.54240,1.41935210E-06,75
741.8,1.66e-7,,,,,1420,5.40000E-05,,,726,9.1281700E-08,1059.25370,1.29894310E-06,76
742.9,1.67e-7,,,,,1430,1.04000E-04,,,727,9.5457200E-08,1069.05490,1.25889680E-06,77
744.0,1.68e-7,,,,,1440,2.03000E-04,,,728,1.0080200E-07,1078.94670,1.32858740E-06,78
745.2,1.68e-7,,,,,1449,2.70800E-04,,,729,1.0616200E-07,1088.93010,1.49861520E-06,79
746.3,1.69e-7,,,,,1460,3.51100E-04,,,730,1.1153600E-07,1099.00580,1.70840230E-06,80
747.4,1.69e-7,,,,,1471,4.29900E-04,,,731,1.1808700E-07,1109.17480,2.03840340E-06,81
748.5,1.70e-7,,,,,1481,5.18100E-04,,,732,1.2407400E-07,1119.43790,2.62839200E-06,82
749.6,1.70e-7,,,,,1493,5.85500E-04,,,733,1.3066000E-07,1129.79590,3.86892350E-06,83
750.8,1.71e-7,,,,,1504,5.89900E-04,,,734,1.3667900E-07,1140.24980,5.95100260E-06,84
751.9,1.71e-7,,,,,1515,5.63500E-04,,,735,1.4154400E-07,1150.80040,9.30647350E-06,85
753.0,1.72e-7,,,,,1527,5.48000E-04,,,736,1.4642300E-07,1158.77740,1.06888290E-05,86
754.1,1.72e-7,,,,,1538,5.26600E-04,,,737,1.5014000E-07,1169.49940,1.11951560E-05,87
